rank,id,piece,count,share,is_byte_fallback
1,260,।,153454,0.02764526,0
2,261,▁के,132986,0.02395788,0
3,263,▁में,99641,0.01795067,0
4,264,▁है,98010,0.01765684,0
5,265,",",94617,0.01704558,0
6,262,▁,93601,0.01686254,0
7,266,▁की,78617,0.01416312,0
8,267,▁से,61836,0.01113997,0
9,268,▁को,59777,0.01076903,0
10,269,▁और,57380,0.01033720,0
11,270,▁का,50793,0.00915053,0
12,271,ी,43803,0.00789126,0
13,272,ों,39826,0.00717479,0
14,274,▁ने,38027,0.00685069,0
15,273,▁पर,37908,0.00682926,0
16,276,न,37717,0.00679485,0
17,14,<0x0A>,37157,0.00669396,1
18,278,ल,35762,0.00644265,0
19,275,▁हैं,35145,0.00633149,0
20,280,र,33329,0.00600433,0
21,277,.,33085,0.00596038,0
22,279,▁कि,31577,0.00568870,0
23,281,ा,28937,0.00521310,0
24,285,क,28690,0.00516860,0
25,282,-,28199,0.00508015,0
26,289,म,27026,0.00486883,0
27,284,▁भी,26765,0.00482181,0
28,283,0,26309,0.00473966,0
29,287,1,25659,0.00462256,0
30,288,▁एक,25627,0.00461679,0
31,286,2,25436,0.00458238,0
32,291,स,21815,0.00393005,0
33,290,▁लिए,21197,0.00381871,0
34,292,▁कर,19900,0.00358505,0
35,296,ने,19719,0.00355245,0
36,293,▁इस,19556,0.00352308,0
37,298,त,18883,0.00340184,0
38,300,ट,18864,0.00339841,0
39,294,▁नहीं,18469,0.00332725,0
40,295,▁हो,18365,0.00330852,0
41,301,ता,18205,0.00327969,0
42,297,े,17418,0.00313791,0
43,299,▁किया,16996,0.00306189,0
44,309,प,16994,0.00306153,0
45,302,▁ही,16895,0.00304369,0
46,308,ना,16726,0.00301325,0
47,304,▁था,16028,0.00288750,0
48,312,ज,15936,0.00287093,0
49,303,ं,15812,0.00284859,0
50,305,▁(,15008,0.00270374,0
51,306,▁यह,14785,0.00266357,0
52,311,▁अ,14589,0.00262826,0
53,307,▁गया,14557,0.00262249,0
54,313,व,14314,0.00257872,0
55,320,ह,13641,0.00245747,0
56,317,▁आ,13226,0.00238271,0
57,310,),12775,0.00230146,0
58,314,▁तो,12488,0.00224976,0
59,315,▁करने,12210,0.00219967,0
60,318,▁न,12050,0.00217085,0
61,322,ो,11927,0.00214869,0
62,316,▁साथ,11807,0.00212707,0
63,319,द,11739,0.00211482,0
64,323,▁स,11648,0.00209843,0
65,325,ि,11063,0.00199304,0
66,359,िक,10934,0.00196980,0
67,321,5,10922,0.00196764,0
68,344,ित,10648,0.00191827,0
69,333,ला,10536,0.00189810,0
70,324,3,10336,0.00186207,0
71,342,श,10181,0.00183414,0
72,331,य,10169,0.00183198,0
73,326,▁कहा,10152,0.00182892,0
74,327,▁बाद,9967,0.00179559,0
75,339,रा,9927,0.00178838,0
76,328,▁जा,9820,0.00176911,0
77,334,कर,9717,0.00175055,0
78,340,ग,9402,0.00169380,0
79,330,9,9332,0.00168119,0
80,329,▁जो,9304,0.00167615,0
81,353,ब,9187,0.00165507,0
82,332,4,9082,0.00163615,0
83,341,का,8944,0.00161129,0
84,335,▁अपने,8649,0.00155815,0
85,336,▁दिया,8543,0.00153905,0
86,360,री,8535,0.00153761,0
87,338,6,8404,0.00151401,0
88,337,▁तक,8344,0.00150320,0
89,367,ु,8276,0.00149095,0
90,351,▁प,8204,0.00147798,0
91,363,नी,8186,0.00147474,0
92,355,▁प्र,8085,0.00145654,0
93,352,ते,8005,0.00144213,0
94,343,▁',7961,0.00143420,0
95,362,ियों,7954,0.00143294,0
96,345,▁वह,7911,0.00142519,0
97,370,मा,7857,0.00141547,0
98,346,▁रहे,7842,0.00141276,0
99,349,▁गई,7832,0.00141096,0
100,356,ड,7830,0.00141060,0
101,350,▁हुए,7703,0.00138772,0
