rank,id,piece,count,share,is_byte_fallback
1,260,।,177716,0.03544023,0
2,261,को,121554,0.02424037,0
3,262,मा,108958,0.02172847,0
4,264,",",76878,0.01533106,0
5,263,ले,74553,0.01486740,0
6,265,का,66786,0.01331850,0
7,267,▁र,59383,0.01184219,0
8,266,▁छ,58575,0.01168106,0
9,268,न,40743,0.00812499,0
10,269,लाई,34880,0.00695579,0
11,270,र,34697,0.00691930,0
12,272,ल,34454,0.00687084,0
13,273,ी,29886,0.00595988,0
14,274,क,29692,0.00592120,0
15,276,स,25637,0.00511255,0
16,275,▁पनि,24761,0.00493785,0
17,271,▁,22882,0.00456314,0
18,280,म,22336,0.00445426,0
19,278,▁छन्,19602,0.00390904,0
20,277,▁भएको,18848,0.00375868,0
21,288,त,18532,0.00369566,0
22,279,ा,18196,0.00362866,0
23,286,ु,17912,0.00357202,0
24,281,बाट,17435,0.00347690,0
25,285,े,16787,0.00334767,0
26,282,▁हो,16241,0.00323879,0
27,283,▁लागि,16117,0.00321406,0
28,287,▁गर्न,15705,0.00313190,0
29,292,प,15294,0.00304994,0
30,284,▁गरेको,15266,0.00304435,0
31,294,ै,14408,0.00287325,0
32,289,▁भने,14251,0.00284194,0
33,293,ट,13979,0.00278770,0
34,299,ता,13474,0.00268699,0
35,291,▁गर्ने,12958,0.00258409,0
36,290,▁एक,12808,0.00255418,0
37,303,▁अ,12713,0.00253523,0
38,315,व,12254,0.00244370,0
39,296,ि,12183,0.00242954,0
40,295,▁थियो,11603,0.00231388,0
41,300,▁यो,11320,0.00225744,0
42,297,▁तथा,11290,0.00225146,0
43,301,-,11237,0.00224089,0
44,302,▁मा,11233,0.00224009,0
45,306,ँ,11159,0.00222533,0
46,305,▁न,11157,0.00222494,0
47,304,ज,11050,0.00220360,0
48,318,ना,10979,0.00218944,0
49,307,ग,10852,0.00216411,0
50,316,द,10799,0.00215354,0
51,333,ह,10498,0.00209352,0
52,319,ला,10437,0.00208135,0
53,308,▁प,10434,0.00208075,0
54,298,▁',10422,0.00207836,0
55,309,ड,10374,0.00206879,0
56,312,ो,10362,0.00206640,0
57,322,रा,10283,0.00205064,0
58,313,▁स,10216,0.00203728,0
59,341,ित,9833,0.00196090,0
60,320,य,9708,0.00193598,0
61,310,हरू,9581,0.00191065,0
62,323,▁को,9476,0.00188971,0
63,345,्य,9372,0.00186897,0
64,14,<0x0A>,9168,0.00182829,1
65,311,▁रहेको,8772,0.00174932,0
66,350,िक,8581,0.00171123,0
67,349,▁आ,8377,0.00167055,0
68,326,▁म,8365,0.00166815,0
69,314,▁हुने,8268,0.00164881,0
70,336,ब,8184,0.00163206,0
71,327,▁नै,8164,0.00162807,0
72,331,),8059,0.00160713,0
73,324,हरु,7992,0.00159377,0
74,330,.,7948,0.00158499,0
75,328,▁दिन,7915,0.00157841,0
76,325,▁थिए,7857,0.00156685,0
77,355,▁प्र,7743,0.00154411,0
78,329,▁ब,7711,0.00153773,0
79,335,▁तर,7680,0.00153155,0
80,334,सँग,7648,0.00152517,0
81,317,▁नेपाल,7545,0.00150463,0
82,332,▁गरेका,7539,0.00150343,0
83,347,री,7510,0.00149765,0
84,344,▁त,7509,0.00149745,0
85,321,▁उनले,7324,0.00146056,0
86,368,श,7258,0.00144739,0
87,340,▁(,7218,0.00143942,0
88,339,▁काम,7193,0.00143443,0
89,338,▁हजार,7011,0.00139814,0
90,378,्या,6967,0.00138936,0
91,337,्,6892,0.00137441,0
92,358,ाइ,6828,0.00136164,0
93,348,ेर,6743,0.00134469,0
94,343,▁गरिएको,6672,0.00133053,0
95,351,▁वा,6652,0.00132655,0
96,346,',6492,0.00129464,0
97,389,ौ,6381,0.00127250,0
98,379,ख,6311,0.00125854,0
99,360,▁ग,6229,0.00124219,0
100,357,्न,6218,0.00124000,0
101,383,फ,6214,0.00123920,0
102,365,र्,6182,0.00123282,0
103,352,▁क,6174,0.00123122,0
104,370,च,6131,0.00122265,0
105,353,्ने,6070,0.00121048,0
106,342,▁बताए,6059,0.00120829,0
107,396,वि,6052,0.00120689,0
108,380,▁वि,6026,0.00120171,0
109,369,ं,5923,0.00118117,0
110,356,▁गर्दै,5909,0.00117838,0
111,371,ली,5847,0.00116601,0
112,373,छ,5830,0.00116262,0
113,404,ण,5827,0.00116202,0
114,366,की,5808,0.00115823,0
115,395,▁उ,5744,0.00114547,0
116,363,न्,5742,0.00114507,0
117,359,▁गरी,5703,0.00113730,0
118,387,ू,5675,0.00113171,0
119,364,सम्म,5647,0.00112613,0
120,388,भ,5532,0.00110319,0
121,372,▁सबै,5458,0.00108844,0
122,361,▁वर्ष,5278,0.00105254,0
123,362,▁यस,5275,0.00105194,0
124,375,▁नेपाली,5255,0.00104796,0
125,367,▁लाख,5209,0.00103878,0
126,376,पछि,5200,0.00103699,0
127,374,▁भएका,5175,0.00103200,0
128,438,▁नि,5130,0.00102303,0
129,415,स्,5088,0.00101465,0
130,455,रो,5054,0.00100787,0
131,391,▁प्रदेश,5038,0.00100468,0
132,443,पा,5036,0.00100428,0
133,382,▁कारण,5001,0.00099730,0
134,377,▁हुन,4937,0.00098454,0
135,392,▁छैन,4917,0.00098055,0
136,421,▁ए,4905,0.00097816,0
137,398,▁आफ्नो,4854,0.00096799,0
138,402,कै,4843,0.00096579,0
139,384,▁दुई,4826,0.00096240,0
140,390,▁बि,4822,0.00096161,0
141,393,▁भन्ने,4812,0.00095961,0
142,444,▁का,4758,0.00094884,0
143,354,▁काठमाडौं,4742,0.00094565,0
144,452,▁द,4683,0.00093389,0
145,424,▁सु,4678,0.00093289,0
146,386,▁जना,4660,0.00092930,0
147,417,ध,4647,0.00092671,0
148,381,▁सय,4602,0.00091773,0
149,447,▁भ,4559,0.00090916,0
150,385,▁१,4535,0.00090437,0
151,429,▁२०,4531,0.00090357,0
152,448,▁सि,4530,0.00090338,0
153,405,िएको,4525,0.00090238,0
154,399,▁निर्माण,4518,0.00090098,0
155,540,ृ,4494,0.00089620,0
156,420,▁बा,4484,0.00089420,0
157,408,▁धेरै,4465,0.00089041,0
158,394,▁अध्यक्ष,4439,0.00088523,0
159,401,▁केही,4414,0.00088024,0
160,430,▁ह,4400,0.00087745,0
161,403,▁कि,4379,0.00087326,0
162,456,थ,4338,0.00086509,0
163,423,▁ज,4331,0.00086369,0
164,442,१,4307,0.00085890,0
165,568,▁श,4292,0.00085591,0
166,427,नी,4283,0.00085412,0
167,397,▁गरे,4282,0.00085392,0
168,410,वा,4270,0.00085153,0
169,407,▁हुन्,4260,0.00084953,0
170,472,▁सा,4249,0.00084734,0
171,422,▁हुन्छ,4228,0.00084315,0
172,416,▁के,4200,0.00083757,0
173,466,ौं,4198,0.00083717,0
174,437,सी,4162,0.00082999,0
175,409,▁अनुसार,4107,0.00081902,0
176,414,ेको,4105,0.00081862,0
177,493,▁इ,4093,0.00081623,0
178,432,▁समेत,4091,0.00081583,0
179,400,▁जिल्ला,4089,0.00081543,0
180,460,लि,4083,0.00081423,0
181,450,ाई,4075,0.00081264,0
182,413,▁२,4074,0.00081244,0
183,425,▁विकास,4045,0.00080666,0
184,406,▁जानकारी,4039,0.00080546,0
185,418,इ,4037,0.00080506,0
186,503,जा,4033,0.00080426,0
187,595,n,4026,0.00080287,0
188,431,देखि,4018,0.00080127,0
189,426,▁अहिले,3979,0.00079349,0
190,445,▁कुरा,3944,0.00078651,0
191,481,▁व,3929,0.00078352,0
192,453,ने,3928,0.00078332,0
193,446,▁कुनै,3928,0.00078332,0
194,439,▁मात्र,3928,0.00078332,0
195,449,या,3924,0.00078253,0
196,441,▁सो,3911,0.00077993,0
197,435,ए,3904,0.00077854,0
198,479,नि,3901,0.00077794,0
199,474,उ,3900,0.00077774,0
200,412,▁६,3874,0.00077256,0
201,419,▁भए,3849,0.00076757,0
202,434,▁प्रमुख,3827,0.00076318,0
203,545,ति,3810,0.00075979,0
204,485,२,3793,0.00075640,0
205,562,िया,3718,0.00074145,0
206,475,िङ,3718,0.00074145,0
207,428,▁प्रहरी,3713,0.00074045,0
